MeV,fissionMeV
0.1,1.4354
0.2,2.07204
0.3,2.24318
0.4,2.46034
0.5,2.6775
0.6,2.67442
0.7,2.67134
0.8,2.61948
0.9,2.51884
1.,2.4182
1.1,2.26376
1.2,2.10932
1.3,1.95488
1.4,1.810042925075396343758472697116035082565869382983403669909675097761459186668816894844820633603742491
1.5,1.65857153617010580872101771032375629302432593715601904317362700605964384541944357551667889885107697
1.6,1.562336463784779939954426250967450825848152620878522477054413326519581778879303959797303700387633789
1.7,1.477653261148297352524182252770048811446057045535021977660627972960816514139973935827244571466514522
1.8,1.393623073058599931455620019010172033881291845048722466400968294377271111823020938828521599242367513
1.9,1.309288875329155786547523958842748595737430085964226468021591541570499547119525330189887082242294218
2.,1.2165
2.1,1.14458
2.2,1.07266
2.3,0.998104
2.4,0.920912
2.5,0.84372
2.6,0.79418
2.7,0.74464
2.8,0.697268
2.9,0.652064
3.,0.60686
3.1,0.564564
3.2,0.522268
3.3,0.483408
3.4,0.447984
3.5,0.41256
3.6,0.379512
3.7,0.346464
3.8,0.3164
3.9,0.28932
4.,0.26224
4.1,0.239976
4.2,0.217712
4.3,0.196884
4.4,0.177492
4.5,0.1581
4.6,0.1431104
4.7,0.1281208
4.8,0.1152868
4.9,0.1046084
5.,0.09393
5.1,0.0859292
5.2,0.0779284
5.3,0.0701912
5.4,0.0627176
5.5,0.055244
5.6,0.0505736
5.7,0.0459032
5.8,0.0412544
5.9,0.0366272
6.,0.032
6.1,0.0283532
6.2,0.0247064
6.3,0.02180052
6.4,0.01963556
6.5,0.0174706
6.6,0.01581988
6.7,0.01416916
6.8,0.01255336
6.9,0.01097248
7.,0.0093916
7.1,0.00795792
7.2,0.00652424
7.3,0.0053843
7.4,0.0045381
7.5,0.0036919
7.6,0.003118276
7.7,0.002544652
7.8,0.00206796
7.9,0.0016882